;;;IANA;IACC
126;Irlanda Oeste Airport Knock;Irlanda;NOC;EIKN
127;Kerry Airport;Irlanda;KIR;EIKY
128;Shannon Airport;Irlanda;SNN;EINN
129;Keflavík Airport;Islandia;KEF;BIKF
130;Alguer Airport;Italia;AHO;LIEA
131;Ancona Airport;Italia;AOI;LIPY
132;Bari Airport;Italia;BRI;LIBD
133;Bérgamo Airport;Italia;BGY;LIME
134;Bolonia Airport;Italia;BLQ;LIPE
135;Brindisi Airport;Italia;BDS;LIBR
136;Cagliari Airport;Italia;CAG;LIEE
137;Catania Fontanarossa Airport;Italia;CTA;LICC
138;Comiso Airport;Italia;CIY;LICB
139;Florencia Airport;Italia;FLR;LIRQ
140;Génova Airport;Italia;GOA;LIMJ
141;Lamezia Terme Airport;Italia;SUF;LICA
142;Milán Linate Airport;Italia;LIN;LIML
143;Milán Malpensa Airport;Italia;MXP;LIMC
144;Nápoles Airport;Italia;NAP;LIRN
145;Olbia Costa Smeralda Airport;Italia;OLB;LIEO
146;Palermo Airport;Italia;PMO;LICJ
147;Perugia Airport;Italia;PEG;LIRZ
148;Pescara Airport;Italia;PSR;LIBP
149;Pisa Airport;Italia;PSA;LIRP
150;Roma Ciampino Airport;Italia;CIA;LIRA
151;Roma Fiumicino Airport;Italia;FCO;LIRF
152;Trapani Airport;Italia;TPS;LICT
153;Treviso Airport;Italia;TSF;LIPH
154;Turín Airport;Italia;TRN;LIMF
155;Venecia Airport;Italia;VCE;LIPZ
156;Verona Airport;Italia;VRN;LIPX
157;Almatý Airport;Kazajistán;ALA;UAAA
158;Nursultan Nazarbayev Airport;Kazajistán;NQZ;UACC
159;Pristina Airport;Kosovo;PRN;BKPR
160;Riga Airport;Letonia;RIX;EVRA
161;Kaunas Airport;Lituania;KUN;EYKA
162;Vilnius Airport;Lituania;VNO;EYVI
163;Luxemburgo Airport;Luxemburgo;LUX;ELLX
164;Skopje Airport;Macedonia del Norte;SKP;LWSK
165;Malta Airport;Malta;MLA;LMML
166;Chisináu Airport;Moldavia;KIV;LUKK
167;Podgorica Airport;Montenegro;TGD;LYPG
168;Tivat Airport;Montenegro;TIV;LYTV
169;Ålesund Airport;Noruega;AES;ENAL
170;Bergen Airport;Noruega;BGO;ENBR
171;Bodø Airport;Noruega;BOO;ENBO
172;Haugesund Airport;Noruega;HAU;ENHD
173;Kristiansand Airport;Noruega;KRS;ENCN
174;Oslo Airport;Noruega;OSL;ENGM
175;Sandefjord Airport Torp;Noruega;TRF;ENTO
176;Stavanger Airport;Noruega;SVG;ENZV
177;Tromsø Airport;Noruega;TOS;ENTC
178;Trondheim Airport;Noruega;TRD;ENVA
179;Ámsterdam Airport Schiphol;Países Bajos;AMS;EHAM
180;Eindhoven Airport;Países Bajos;EIN;EHEH
181;Groninga Airport Eelde;Países Bajos;GRQ;EHGG
182;Maastricht Aachen Airport;Países Bajos;MST;EHBK
183;Róterdam La Haya Airport;Países Bajos;RTM;EHRD
184;Breslavia Airport;Polonia;WRO;EPWR
185;Cracovia Airport;Polonia;KRK;EPKK
186;Gdansk Airport;Polonia;GDN;EPGD
187;Katowice Airport;Polonia;KTW;EPKT
188;Poznan Airport;Polonia;POZ;EPPO
189;Szczecin-Goleniów Airport;Polonia;SZZ;EPSC
190;Varsovia Airport;Polonia;WAW;EPWA
191;Varsovia Modlin Airport;Polonia;WMI;EPMO
192;Faro Airport;Portugal;FAO;LPFR
193;Lisboa Airport;Portugal;LIS;LPPT
194;Madeira Airport;Portugal;FNC;LPMA
195;Oporto Airport;Portugal;OPO;LPPR
196;Ponta Delgada Airport;Portugal;PDL;LPPD
197;Aberdeen Airport;Reino Unido;ABZ;EGPD
198;Belfast City Airport;Reino Unido;BHD;EGAC
199;Belfast International Airport;Reino Unido;BFS;EGAA
200;Birmingham Airport;Reino Unido;BHX;EGBB
201;Bristol Airport;Reino Unido;BRS;EGGD
202;Cardiff Airport;Reino Unido;CWL;EGFF
203;Doncaster Sheffield Airport;Reino Unido;DSA;EGCN
204;East Midlands Airport;Reino Unido;EMA;EGNX
205;Edimburgo Airport;Reino Unido;EDI;EGPH
206;Exeter Airport;Reino Unido;EXT;EGTE
207;Glasgow Airport;Reino Unido;GLA;EGPF
208;Glasgow Prestwick Airport;Reino Unido;PIK;EGPK
209;Humberside Airport;Reino Unido;HUY;EGNJ
210;Jersey Airport;Reino Unido;JER;EGJJ
211;Leeds Bradford Airport;Reino Unido;LBA;EGNM
212;Liverpool Airport;Reino Unido;LPL;EGGP
213;Londres City Airport;Reino Unido;LCY;EGLC
214;Londres Gatwick Airport;Reino Unido;LGW;EGKK
215;Londres Heathrow Airport;Reino Unido;LHR;EGLL
216;Londres Luton Airport;Reino Unido;LTN;EGGW
217;Londres Southend Airport;Reino Unido;SEN;EGMC
218;Londres Stansted Airport;Reino Unido;STN;EGSS
219;Mánchester Airport;Reino Unido;MAN;EGCC
220;Newcastle Airport;Reino Unido;NCL;EGNT
221;Southampton Airport;Reino Unido;SOU;EGHI
222;Brno Airport;República Checa;BRQ;LKTB
223;Praga Airport;República Checa;PRG;LKPR
224;Bucarest Henri Coanda Airport;Rumania;OTP;LROP
225;Cluj-Napoca Airport;Rumania;CLJ;LRCL
226;Iasi Airport;Rumania;IAS;LRIA
227;Timisoara Airport;Rumania;TSR;LRTR
228;Koltsovo Airport;Rusia;SVX;USSS
229;Krasnodar Airport;Rusia;KRR;URKK
230;Moscú Domodédovo Airport;Rusia;DME;UUDD
231;Moscú Sheremetyevo Airport;Rusia;SVO;UUEE
232;Moscú Vnúkovo Airport;Rusia;VKO;UUWW
233;Moscú Zhukovsky Airport;Rusia;ZIA;UUBW
234;Novosibirsk Tolmachevo Airport;Rusia;OVB;UNNT
235;San Petersburgo Púlkovo Airport;Rusia;LED;ULLI
236;Sochi Airport;Rusia;AER;URSS
237;Belgrado Nikola Tesla Airport;Serbia;BEG;LYBE
238;Niš Airport;Serbia;INI;LYNI
239;Estocolmo Arlanda Airport;Suecia;ARN;ESSA
240;Estocolmo Bromma Airport;Suecia;BMA;ESSB
241;Estocolmo Skavsta Airport;Suecia;NYO;ESKN
242;Estocolmo Västerås Airport;Suecia;VST;ESOW
243;Gotemburgo Landvetter Airport;Suecia;GOT;ESGG
244;Malmö Airport;Suecia;MMX;ESMS
245;Basilea Mulhouse Friburgo Airport;Suiza;BSL;LFSB
246;Berna Airport;Suiza;BRN;LSZB
247;Ginebra Airport;Suiza;GVA;LSGG
248;Zúrich Airport;Suiza;ZRH;LSZH
249;Adana Airport;Turquía;ADA;LTAF
250;Ankara Esenboga Airport;Turquía;ESB;LTAC
251;Antalya Airport;Turquía;AYT;LTAI
252;Dalaman Airport;Turquía;DLM;LTBS
253;Esmirna Adnan Menderes Airport;Turquía;ADB;LTBJ
254;Estambul Airport;Turquía;IST;LTFM
255;Estambul Sabiha Gökcen Airport;Turquía;SAW;LTFJ
256;Milas-Bodrum Airport;Turquía;BJV;LTFE
257;Trebisonda Airport;Turquía;TZX;LTCG
258;Kharkiv Airport;Ucrania;HRK;UKHH
259;Kiev Boryspil Airport;Ucrania;KBP;UKBB
260;Kiev Zhuliany Airport;Ucrania;IEV;UKKK
261;Lviv Airport;Ucrania;LWO;UKLL
262;Odesa Airport;Ucrania;ODS;UKOO
